tittle,href,points
How to recognize AI snake oil [pdf],https://www.cs.princeton.edu/~arvindn/talks/MIT-STS-AI-snakeoil.pdf,763
Tools we used to create a hit HTML5 game on Steam,https://www.codecks.io/blog/2019/creating-a-hit-steam-game-in-html5/,561
Ask HN: What's the most valuable thing you can learn in an hour?,item?id=21581361,559
"Local-first software: you own your data, in spite of the cloud",https://blog.acolyer.org/2019/11/20/local-first-software/,360
Thousands flock to Wikipedia founder's 'Facebook rival',https://www.bbc.co.uk/news/technology-50460243,335
My years working on black programs,https://www.thespacereview.com/article/3833/1,326
Clang Format Tanks Performance,https://travisdowns.github.io/blog/2019/11/19/toupper.html,262
Facebook and Microsoft Partner on Remote Development,https://developers.facebook.com/blog/post/2019/11/19/facebook-microsoft-partnering-remote-development/,258
How NBA executive Jeff David stole $13M from the Sacramento Kings,https://www.espn.com/nba/story/_/id/28078881/how-nba-executive-jeff-david-stole-13-million-sacramento-kings,222
A Python library for writing distributed self-replicating programs,https://mitogen.networkgenomics.com/,210
New York State Attorney General Investigating WeWork,https://www.reuters.com/article/us-wework-newyork-investigation-exclusiv/exclusive-new-york-state-attorney-general-investigating-wework-sources-idUSKBN1XT01J,195
Selling My Bootstrapped SaaS Business (2017),https://tylertringas.com/selling-my-bootstrapped-saas-business/,175
UBlockOrigin: How to address first-party tracker blocking?,https://github.com/uBlockOrigin/uBlock-issues/issues/780,143
The Hierarchy of Cringe,https://aelkus.github.io/culture/2019/10/21/hierarchy-of-cringe,126
In Defense of Latin,https://lithub.com/look-latin-is-not-useless-neither-is-it-dead/,123
The 40% Keyboard,http://tbf-rnd.life/blog/2019/09/18/the-40-keyboard/,121
Allsorts: font parser and shaping engine implemented in Rust,https://yeslogic.com/blog/allsorts-rust-font-shaping-engine.html,105
